wine_upc,item_desc_truth,brand_family_truth,size_truth,color_truth,Period Descriptions,$,$ YA,9 Liter Equivs,9 Liter Equivs YA,Units,Units YA,Max Item %ACV Reach Where Dist WINE,Max Item %ACV Reach YA Where Dist WINE,$ Per Point of Max Item ACV,# Stores,# Stores Selling,$ per Store Selling,arp_truth,arp_ly_truth,prestige_truth
8175383146,KRUG GRANDE CUVEE 750ML,KRUG,750ML,WHITE,Latest 52 Wks,32881.80,178944.00,7.97,64.28,96.00,771.00,0.00%,0.00%,513778.19,238866,42,788.59,$343.91,$232.0,Prestige
66750500060,PIPER-HEIDSIECK CHAMPAGNE 750ML,PIPER-HEIDSIECK,750ML,WHITE,Latest 52 Wks,32841.60,12088.12,44.75,14.92,537.00,179.00,0.00%,0.00%,218944.00,238866,131,249.75,$61.16,$67.53,
8175382767,DOM PERIGNON CHAMPAGNE 750ML,DOM PERIGNON,750ML,WHITE,Latest 52 Wks,32346.37,33123.66,5.36,6.11,64.00,73.00,0.00%,0.00%,829394.03,238866,34,954.96,$503.14,$451.48,Prestige
8175380260,VEUVE CLICQUOT VINTAGE 750ML,VEUVE CLICQUOT,750ML,WHITE,Latest 52 Wks,32207.01,41899.69,29.83,43.23,358.00,519.00,0.00%,0.00%,8051753.00,238866,15,2191.40,$89.97,$80.76,
325843422000,LAURENT-PERRIER ROSE 750ML,LAURENT-PERRIER,750ML,PINK,Latest 52 Wks,32128.43,32651.55,31.04,30.57,372.00,367.00,0.00%,0.00%,440115.49,238866,133,241.21,$86.26,$89.01,
69274300521,LANSON SPK CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 750ML,LANSON,750ML,WHITE,Latest 52 Wks,31967.15,8159.85,22.35,7.64,268.00,92.00,0.00%,0.00%,196117.51,238866,126,254.44,$119.18,$89.02,
8469251000,TAITTINGER PRELUDE SPK CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 750ML,TAITTINGER,750ML,WHITE,Latest 52 Wks,31884.96,35608.14,26.39,31.21,317.00,375.00,0.00%,0.00%,379582.85,238866,86,371.45,$100.7,$95.08,
359144000107,BARON-FUENTE SPK CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 750ML,BARON-FUENTE,750ML,WHITE,Latest 52 Wks,31708.35,2466.66,75.75,6.25,909.00,75.00,0.00%,0.00%,932598.53,238866,42,754.96,$34.88,$32.89,
837582852915,PALMER & CO SPK CHAMPAGNE WHITE WHITE CHAMPAGNE FRANCE 750ML,PALMER & CO,750ML,WHITE,Latest 52 Wks,31565.45,33763.96,22.75,24.83,273.00,298.00,0.00%,0.00%,1578272.50,238866,28,1127.34,$115.62,$113.3,
85809000014,ESTERLIN SPK CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 750ML,ESTERLIN,750ML,WHITE,Latest 52 Wks,31540.80,0.00,63.87,0.00,766.00,0.00,0.00%,0.00%,852454.05,238866,67,470.67,$41.15,,
