Nielsen Item Names,Nielsen Item Names ID,Brand Families,Colors,Sizes,Period Descriptions, $, $ YA, 9 Liter Equivs, 9 Liter Equivs YA,Units,Units LY, %ACV Reach Where Dist NON ALCOHOLIC, %ACV Reach Where Dist YA NON ALCOHOLIC, $ Per Point of ACV,# Stores,# Stores Selling,$ per Store Selling,GT,# Stores Last Period,# Stores Selling Last Period,$ per Store Selling Last Period,Prestige,ARP,ARP LY,ACV Calc
DOM PERIGNON SPK CHAMPAGNE WHITE WHITE CHAMPAGNE FRANCE 750ML,8175381102,DOM PERIGNON,WHITE,750ML,Latest 26 Wks,5082286.177,5100545.635,1602.285,1561.075,19227.42,18732.906,0.03615,0.02976,1405888.292,261037.091,3375.166,1505.788508,TOTAL,260922,3522,1413.49,,264.32,272.28,1.29%
DOM PERIGNON SPK CHAMPAGNE WHITE WHITE CHAMPAGNE FRANCE 750ML,8175381102,DOM PERIGNON,WHITE,750ML,Latest 13 Wks,2396158.682,2457872.576,773.405,752.849,9280.86,9034.184,0.02392,0.02097,1001738.579,261185.275,2058.476,1164.044993,TOTAL,260997,2235,1088.64,,258.18,272.06,0.79%
DOM PERIGNON SPK CHAMPAGNE WHITE WHITE CHAMPAGNE FRANCE 750ML,8175381102,DOM PERIGNON,WHITE,750ML,Latest 4 Wks,770658.754,725390.479,247.295,222.02,2967.535,2664.243,0.01129,0.01095,682602.9708,261443.248,1042.175,739.4715417,TOTAL,261123,1151,701.12,,259.70,272.27,0.40%
TAITTINGER LA FRANCAISE CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 750ML,8469250164,TAITTINGER,WHITE,750ML,Latest 52 Wks,9825866.295,10820697.84,14163.047,16177.446,169956.566,194129.356,0.15216,0.14224,645758.8259,260960.495,9155.941,1073.168372,TOTAL,260885,9336,1046.22,,57.81,55.74,3.51%
TAITTINGER LA FRANCAISE CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 750ML,8469250164,TAITTINGER,WHITE,750ML,Latest 26 Wks,4103129.463,4047101.922,5797.145,5881.404,69565.747,70576.856,0.12475,0.11679,328908.1734,261037.091,7010.667,585.2694848,TOTAL,260922,7045,577.99,,58.98,57.34,2.69%
TAITTINGER LA FRANCAISE CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 750ML,8469250164,TAITTINGER,WHITE,750ML,Latest 13 Wks,2077586.783,1828254.94,2928.97,2662.71,35147.647,31952.521,0.10067,0.09586,206375.9594,261185.275,5461.193,380.4272772,TOTAL,260997,5821,366.99,,59.11,57.22,2.09%
TAITTINGER LA FRANCAISE CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 750ML,8469250164,TAITTINGER,WHITE,750ML,Latest 4 Wks,563897.792,506326.138,792.499,732.194,9509.987,8786.333,0.05736,0.05599,98308.54114,261443.248,3092.726,182.3303429,TOTAL,261123,3436,194.26,,59.30,57.63,1.18%
MOET & CHANDON ICE IMPRL SPK CHAMPAGNE WHITE WHITE CHAMPAGNE FRANCE 750ML,8175381802,MOET & CHANDON,WHITE,750ML,Latest 52 Wks,9665769.409,12696184.88,12047.854,16670.195,144574.249,200042.343,0.07098,0.06131,1361759.567,260960.495,9260.605,1043.751397,TOTAL,260885,9339,1036.22,,66.86,63.47,3.55%
MOET & CHANDON ICE IMPRL SPK CHAMPAGNE WHITE WHITE CHAMPAGNE FRANCE 750ML,8175381802,MOET & CHANDON,WHITE,750ML,Latest 26 Wks,4124624.511,4893213.017,5062.36,6239.54,60748.323,74874.477,0.05986,0.05334,689045.1906,261037.091,6634.518,621.6916603,TOTAL,260922,6764,574.5,,67.90,65.35,2.54%
MOET & CHANDON ICE IMPRL SPK CHAMPAGNE WHITE WHITE CHAMPAGNE FRANCE 750ML,8175381802,MOET & CHANDON,WHITE,750ML,Latest 13 Wks,2239789.086,2498629.432,2732.414,3133.813,32788.965,37605.755,0.04836,0.04567,463149.1079,261185.275,5025.291,445.7033605,TOTAL,260997,5078,415.51,,68.31,66.44,1.92%
